Source,FIPS,State,city/county,city/county_status,project_id,number,start_date,stop_date,department,lou_category,amount,project_name,category,subcategory,description,suggested_cat,suggested_subcat,Notes,start_date,stop_date
,21111,KY,Louisville,city,ARP-0001-DEL,0001,none,none,DEL,Affordable Housing,10000000,Court Eviction Diversion Program,2,5,The Court Eviction Diversion Program provides financial assistance for both past due and future rent for households below 80% of area median income who are facing eviction and received a Forcible Detainer.,,,,,
,21111,KY,Louisville,city,ARP-0003-DEL,0003,7/1/2021,6/30/2022,DEL,Affordable Housing,1000000,Security Deposit and Rental Assistance,2,2,The Security Deposit and Rental Assistance program provides financial assistance (security deposit and up to two month's rent) for tenants negatively affected by COVID-19 moving to a new unit.,,,,,
,21111,KY,Louisville,city,ARP-0004-ECD,0004,7/1/2021,12/31/2021,ECD,Healthy Neighborhoods,1000000,Enhanced Community Ambassador and Security Programs,2,11,The Department of Economic Development is administering ARP funds for Enhanced Community Ambassador and Security Programs targeted of Waterfront Park & community wide services.,,,,,
,21111,KY,Louisville,city,ARP-0005-PHW,0005,none,none,PHW,Public Health,8365927,COVID-19 Response - Vaccination,1,1,"""This project includes a wide range of vaccination activities, including mobile missions staffed by our employees and through a large network of community partners. These missions are scheduled based on community requests, vaccination rates, case counts, and serving high risk populations, including providing in-home vaccinations to those who can't leave their homes. """,,,,,
,21111,KY,Louisville,city,ARP-0006-PHW,0006,none,none,PHW,Public Health,2729900,COVID-19 Response - Testing,1,2,Louisville Metro Public Health and Wellness has a Testing Taskforce (now combined with the Vaccine Taskforce) pulling together labs and healthcare systems in Jefferson County to coordinate COVID-19 testing efforts and response across the country.,,,,,
,21111,KY,Louisville,city,ARP-0007-PHW,0007,none,none,PHW,Public Health,6095950,COVID-19 Response - Contact Tracing,1,3,"Our COVID-19 response includes disease investigation activities: case interviews, contact tracing, daily follow-ups for positive cases, essential need requests, specialized teams for disease investigations, quality assurance and staffing 24/7 help line for residents to call with COVID-19 related questions.",,,,,
,21111,KY,Louisville,city,ARP-0008-PHW,0008,none,none,PHW,Public Health,3250000,COVID-19 Response - Prevention in Congregate Settings,1,4,Project provides funding to Metro United Way to operate a beneficiary program for childcare centers.,,,,,
,21111,KY,Louisville,city,ARP-0009-PHW,0009,none,none,PHW,Public Health,12000,COVID-19 Response - Personal Protective Equipment,1,5,"""Louisville Metro Public Health and Wellness, in responding to the COVID-19 pandemic, purchases PPE for staff to use during the course of the business day and to distribute at vaccination events towards immigrant populations, including masks and hand sanitizer.""",,,,,
,21111,KY,Louisville,city,ARP-0010-PHW,0010,none,none,PHW,Public Health,3216400,"Other COVID-19 Public Health Expenses (including Communications, Enforcement",1,8,"This project encompasses much of Louisville Metro Public Health and Wellness's general COVID response from July 1, 2021 forward. This project includes building capacity and structure necessary to mitigate COVID, items to meet the essential needs of individuals who are quarantining or isolating, professional and language services, supplies, and other COVID-related costs.",,,,,
,21111,KY,Louisville,city,ARP-0010-PHW-FY21,0010,none,none,PHW-FY21,Public Health,3832084.4,COVID-19 Response - Other COVID-19 Public Health FY 21,1,8,"Our COVID-19 response is funding several items deemed as other COVID-19 public health services under the ARP spending categories: infrastructure, language services, professional services, cell phone data and office supplies, and essential needs program.",,,,,
,21111,KY,Louisville,city,ARP-0011-PHW,0011,none,none,PHW,Public Health,3914573,COVID-19 Response - Payroll,1,9,Efforts of Louisville Metro Public Health and Wellness staff across multiple COVID-19 related public health projects.,,,,,
,21111,KY,Louisville,city,ARP-0012-PHW,0012,none,none,PHW,Public Health,280000,Substance Abuse Services,1,13,"Louisville lost 603 residents to fatal drug overdoses in 2020, a 60% increase over 2019. The COVID-19 pandemic contributed to many root causes of addiction including unemployment, stress, anxiety, social isolation, etc. which has necessitated substance use services into our COVID-19 response.",,,,,
,21111,KY,Louisville,city,ARP-0013-PHW,0013,10/31/2021,12/31/2021,PHW,Public Health,430250,Other Public Health Services,1,12,"""Louisville Public Health and Wellness's COVID-19 response is providing funding for work deemed as ""Other Public Health Services"" under the ARP spending categories, including conducting COVID-19 research with partners, vendors, etc. to improve projections.""",,,,,
,21111,KY,Louisville,city,ARP-0014-PHW,0014,none,none,PHW,Public Health,1050000,Household Assistance,2,2,"""This project aims to provide immediate financial relief directly to individual households from multicultural communities who are experiencing adverse effects of COVID-19 (i.e., illness, unemployment, etc.). Funds are intended to help recipients endure acute periods of financial need.""",,,,,
,21111,KY,Louisville,city,ARP-0015-PHW,0015,none,none,PHW,Workforce Development,430000,Small Business Economic Assistance,,,,,,,,
,21111,KY,Louisville,city,ARP-0016-PHW,0016,none,none,PHW,Public Health,400000,Suicide Prevention Project,,,,,,,,
,21111,KY,Louisville,city,ARP-0017-PHW,0017,none,none,PHW,Public Health,1200000,Residential Services for Substance Abuse and Addiction,1,11,"""The main activities of this project will be to distribute Narcan and other overdose prevention supplies to community partners and residents, create a supportive service hub for people who use drugs, reduce barriers to treatment, and provide housing for residents experiencing substance use disorder and homelessness.""",,,,,
,21111,KY,Louisville,city,ARP-0018-RCS,0018,7/1/2021,6/30/2022,RCS,Affordable Housing,5000000,Utility Assistance Program,2,2,The purpose of this project is to pay electric and water/sewer expenses for residents who would otherwise have their utilities turned off.,,,,,
,21111,KY,Louisville,city,ARP-0019-RCS,0019,none,none,RCS,Public Health,250000,Temporary Staff Support for High Food Distribution,2,1,"This project supports temporary workers assisting in food distribution to households that are experiencing food insecurity due to the pandemic. Due to the high volume of need during the pandemic, additional staff are needed to distribute food.",,,,,
,21111,KY,Louisville,city,ARP-0020-RCS,0020,none,none,RCS,Public Health,1500000,Child Care Emergency & Safety Supplies,1,5,The main activity for this project will be the distribution of PPE supplies and equipment to local childcare providers during the pandemic.,,,,,
,21111,KY,Louisville,city,ARP-0021-RCS,0021,none,none,RCS,Affordable Housing,1500000,Outdoor Safe Space,6,1,"Provision of Government Services for homelessness programming. The Safe Outdoor Space model is designed as an option for people experiencing unsheltered homelessness in Louisville. It includes tents for residents, amenities, power installation and lighting and facilites i.e., restrooms, showers, sinks, food prep quarters, guest storage and/or debris and trash removals service. Residents will have access to support services on site.",,,,,
,21111,KY,Louisville,city,ARP-0023-DEL,0023,none,none,DEL,Affordable Housing,40000000,Affordable Housing Trust Fund,,,,,,,,
,21111,KY,Louisville,city,ARP-0024-DEL,0024,none,none,DEL,Affordable Housing,7500000,College Street Property Renovations,6,1,"affordable housing units, which, when complete, will result in closure of the safe outdoor space. During the renovation process of the first floor, the resulting availability of electricity and water can supplement supplies for the Outdoor Safe Space.",,,,,
,21111,KY,Louisville,city,ARP-0025-DEL,0025,none,none,DEL,Affordable Housing,4000000,Down Payment Assistance,,,,,,,,
,21111,KY,Louisville,city,ARP-0026-DEL,0026,none,none,DEL,Affordable Housing,4000000,Home Repair,2,18,"This program provides funds to homeowners to repair their homes. Many of our residents have homes that are in ill-repair and not suitable for living, but they lack the funding to repair them. This program alleviates this problem, keeping people housed and reducing the burden of needing new housing in the city.",,,,,
,21111,KY,Louisville,city,ARP-0028-OMB,0028,none,none,OMB,Premium Pay,342562.5,Vaccine Incentives - Metro Employees,1,1,Vaccines incentives for Louisville Metro Government employees. The purpose of this project is to increase the number of vaccinated employees.,,,,,
,21111,KY,Louisville,city,ARP-0031-OMB,0031,none,none,OMB,Premium Pay,95000,Vaccine Incentives - Component Units/External Agencies (Public and Private),1,1,"The purpose of this project is to provide vaccination incentives, in the amounts of $500 or $250, to eligible employees of Louisville Metro Government's external partner agencies, including Jefferson County Attorney's Office, Jefferson County Clerks Office, Jefferson County Sheriff's Office, Waterfront Development Corporation, KentuckianaWorks Foundation, and Kentucky Science Center.",,,,,
,21111,KY,Louisville,city,ARP-0032-OMB,0032,none,none,OMB,Compliance and Reporting,15000000,Compliance and Reporting,7,1,"This amount, approximately 2.5% of the total ARP appropriation to Louisville Metro, is reserved for meeting Louisville Metro's significant compliance and reporting responsibilities over the five year life of the grant, which Metro Council believes should be paid with ARP funds. Metro Council requests a budget for this support, including the use of these funds and any future request, no later than May 31, 2022.",,,,,
,21111,KY,Louisville,city,ARP-0033-LMP,0033,none,none,LMP,Public Safety,17500000,Public Safety Reforms,6,1,This purpose of this project is to provide government services through Louisville Metro Police Department to address and improve public safety practices.,,,,,
,21111,KY,Louisville,city,ARP-0034-SHN,0034,none,none,SHN,Public Safety,8000000,Community Violence Intervention Program,6,1,Provision of Government Services to decrease violence and gun violence. Expansion of our public health intervention approach that deploys teams of violence interventionists and outreach case managers in high priority neighborhoods to disrupt and mediate group/gun violence in the community.,1,11,,,
,21111,KY,Louisville,city,ARP-0035-SHN,0035,8/1/2022,12/31/2024,SHN,Public Safety,1000000,Coordinated Crisis Response to Gun Violence,6,1,"Creation of a victim’s support multidisciplinary team (MDT) that coordinates and ensures short- and long-term services to those directly victimized by gun violence, and the creation of a faith-led, community partnership that engages community residents within 48 hours of exposure to gun violence.",,,,,
,21111,KY,Louisville,city,ARP-0036-SHN,0036,7/1/2022,12/31/2024,SHN,Public Safety,1300000,Restorative Justice Expansion,6,1,"Restorative Justice provides a holistic and restorative approach to the traditional criminal justice system by bringing together the offender, victim and community to make things right. This project would significantly expand the city’s ability to engage in restorative practices with the criminal justice and public school systems.",,,,,
,21111,KY,Louisville,city,ARP-0037-SHN,0037,none,none,SHN,Public Safety,4500000,Trauma Resilient Communities Expansion,6,1,"Provision of free therapy for children and families in certain zip codes disproportionately affected by gun violence, with culturally competent, trauma-informed therapist willing to co-locate in community spaces.",,,,,
,21111,KY,Louisville,city,ARP-0038-SHN,0038,none,none,SHN,Public Safety,331200,Ambassador Institute Expansion - Community Mobilization Project,,,,,,,,
,21111,KY,Louisville,city,ARP-0039-SHN,0039,none,12/31/2024,SHN,Public Safety,668800,Ambassador Institute Expansion - Capacity Building Fellowship,,,,,,,,
,21111,KY,Louisville,city,ARP-0040-YTS,0040,none,none,YTS,Public Safety,,Juvenile Assessment Center,3,13,"Assessment Center to receive and assess youth who have been detained pre-custody in coordination with the court designated workers assessment process. As part of that process, there will be a potential for connection to services from community partners. """,,,,,
,21111,KY,Louisville,city,ARP-0041-SHN,0041,71/2022,6/30/2022,SHN,Public Safety,117000,Everytown USA Data Fellow,6,1,The Everytown Data Fellow will assist with improvements to our data collection efforts by functioning as a resource to centralize and merge data from multiple sources and assisting various agencies that provide wrap-around services to provide added layers of relevant information with streamlining their data collection efforts when needed.,,,Should there be a public works or public 'salary' category for projects like this?,,
,21111,KY,Louisville,city,ARP-0042-SHN,0042,none,12/31/2022,SHN,Public Safety,200000,Family Recovery Court - Seven Counties,6,1,"Family Recovery Court seeks to decrease the number of children and families adversely effected by substance use disorder and trauma in our community. The goal of this program is to decrease the amount of time children spend in out of home care, thus decreasing the overall cost to the community. This program further serves to assist participants with learning the skills needed to be protective parents and to parent independently and sober.",,,,,
,21111,KY,Louisville,city,ARP-0043-LMP,0043,none,none,LMP,Public Safety,6000000,LMPD Technology,6,1,"Provision of Government Services to reduce violence, especially gun violence. This project will expand the MetroWatch Camera System and increase the Louisville Metro Police Department's capabilities in the areas of digital evidence collection and storage.",,,,,
,21111,KY,Louisville,city,ARP-0044-OMB,0044,1/31/2022,7/31/2022,OMB,Public Safety,4800000,Public Safety Hiring Incentive,6,1,"Hiring incentive to help attract new hires, lateral personnel and rehires. The incentive would be paid over three years with 50% to be paid upon completion of required training, 25% to be paid twelve months following graduation from academy, and the remaining 25% to be paid twenty-four months following graduation from academy. Program details will be fully outlined and updated following legal review. Specific agencies include LMPD, Metro Corrections, and Emergency Services.",,,,,
,21111,KY,Louisville,city,ARP-0045-YTS,0045,none,none,YTS,Public Safety,3000000,Juvenile Assessment Center,6,1,"Provision of Government Services for Louisville Metro Government Youth Transition Services Agency. This funding will be utilized to develop a Juvenile Assessment Center to receive and assess youth who have been detained pre-custody in coordination with the court designated workers assessment process. As part of that process, there will be a potential for connection to services from community partners.",,,,,
,21111,KY,Louisville,city,ARP-0046-LMP,0046,none,none,LMP,Public Safety,11167916,Public Safety Salaries,6,1,Provision of Government Services for Public Safety Agency salaries.,,,,,
