State,County,Allocation,*
Alabama,Autauga County,"$10,851,898.00 ",
Alabama,Baldwin County,"$43,360,588.00 ",
Alabama,Barbour County,"$4,794,966.00 ",
Alabama,Bibb County,"$4,349,772.00 ",
Alabama,Blount County,"$11,232,023.00 ",
Alabama,Bullock County,"$1,962,001.00 ",
Alabama,Butler County,"$3,777,546.00 ",
Alabama,Calhoun County,"$22,066,439.00 ",
Alabama,Chambers County,"$6,459,200.00 ",
Alabama,Cherokee County,"$5,088,266.00 ",
Alabama,Chilton County,"$8,629,618.00 ",
Alabama,Choctaw County,"$2,445,266.00 ",
Alabama,Clarke County,"$4,588,297.00 ",
Alabama,Clay County,"$2,570,744.00 ",
Alabama,Cleburne County,"$2,896,093.00 ",
Alabama,Coffee County,"$10,166,820.00 ",
Alabama,Colbert County,"$10,729,917.00 ",
Alabama,Conecuh County,"$2,343,873.00 ",
Alabama,Coosa County,"$2,071,163.00 ",
Alabama,Covington County,"$7,196,334.00 ",
Alabama,Crenshaw County,"$2,675,050.00 ",
Alabama,Cullman County,"$16,270,952.00 ",
Alabama,Dale County,"$9,551,085.00 ",
Alabama,Dallas County,"$7,224,887.00 ",
Alabama,DeKalb County,"$13,890,562.00 ",
Alabama,Elmore County,"$15,773,896.00 ",
Alabama,Escambia County,"$7,115,531.00 ",
Alabama,Etowah County,"$19,864,360.00 ",
Alabama,Fayette County,"$3,166,472.00 ",
Alabama,Franklin County,"$6,091,701.00 ",
Alabama,Geneva County,"$5,102,834.00 ",
Alabama,Greene County,"$1,575,467.00 ",
Alabama,Hale County,"$2,845,785.00 ",
Alabama,Henry County,"$3,341,870.00 ",
Alabama,Houston County,"$20,566,337.00 ",
Alabama,Jackson County,"$10,027,745.00 ",
Alabama,Jefferson County,"$127,920,085.00 ",
Alabama,Lamar County,"$2,681,459.00 ",
Alabama,Lauderdale County,"$18,011,521.00 ",
Alabama,Lawrence County,"$6,395,101.00 ",
Alabama,Lee County,"$31,960,355.00 ",
Alabama,Limestone County,"$19,213,079.00 ",
Alabama,Lowndes County,"$1,889,161.00 ",
Alabama,Macon County,"$3,509,497.00 ",
Alabama,Madison County,"$72,433,202.00 ",
Alabama,Marengo County,"$3,663,917.00 ",
Alabama,Marion County,"$5,770,625.00 ",
Alabama,Marshall County,"$18,797,215.00 ",
Alabama,Mobile County,"$80,261,198.00 ",
Alabama,Monroe County,"$4,027,142.00 ",
Alabama,Montgomery County,"$43,992,250.00 ",
Alabama,Morgan County,"$23,246,243.00 ",
Alabama,Perry County,"$1,733,188.00 ",
Alabama,Pickens County,"$3,871,169.00 ",
Alabama,Pike County,"$6,432,006.00 ",
Alabama,Randolph County,"$4,413,482.00 ",
Alabama,Russell County,"$11,258,245.00 ",
Alabama,Shelby County,"$42,286,061.00 ",
Alabama,St. Clair County,"$17,386,657.00 ",
Alabama,Sumter County,"$2,413,799.00 ",
Alabama,Talladega County,"$15,534,789.00 ",
Alabama,Tallapoosa County,"$7,840,817.00 ",
Alabama,Tuscaloosa County,"$40,664,754.00 ",
Alabama,Walker County,"$12,338,210.00 ",
Alabama,Washington County,"$3,171,134.00 ",
Alabama,Wilcox County,"$2,014,834.00 ",
Alabama,Winston County,"$4,589,656.00 ",
Alaska,Aleutians East Borough,"$648,173.00 ",
Alaska,Aleutians West Census Area,"$1,094,338.00 ",*
Alaska,Anchorage Municipality,"$55,940,624.00 ",
Alaska,Bethel Census Area,"$3,571,265.00 ",*
Alaska,Bristol Bay Borough,"$162,383.00 ",
Alaska,Denali Borough,"$407,318.00 ",
Alaska,Dillingham Census Area,"$954,875.00 ",*
Alaska,Fairbanks North Star Borough,"$18,811,783.00 ",
Alaska,Haines Borough,"$491,423.00 ",
